cve_id,candidate_commit_sha,candidate_source,evidence_level,candidate_generation_mode,fix_commit_id,patch_family_id,path_before,old_line_start,role,selection_mode,risk_flags,predicted_release_tag_count,suitable_for_judge,included_in_blind_packet,fallback_rank,fallback_recommended,fallback_deprioritized_reason,blind_packet_path,audit_packet_path
CVE-2020-13904,da7759b3579de3e98deb1ac58e642b861280ba54,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:bd09c9d46c70ef94d34c91f502326853d3f741ab,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,847,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,144,True,False,19,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-13904,ea1940c6e2ead234f6e563c095bb67d352e3328f,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:9dfb19baeb86a8bb02c53a441682c6e9a6e104cc,patch-family:65ee2892f76fc5427843a3a42c6a2e28f7265c84,libavformat/hls.c,910,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,0,True,False,9,False,ranked_below_top_k,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-13904\judge_audit_packet.json
CVE-2020-14212,2558e62713ebc5f3ea22c1a28d8e9cf3249badaf,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:dd273d359e45ab69398ac0dc41206d5f1a9371bf,patch-family:1f6ce52f72707cf7a5684d7548987f93e7d9128b,libavfilter/dnn/dnn_backend_native_layer_depth2space.h,37,dangerous_use,modified_old_side,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,1,True,True,1,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-14212\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-14212\judge_audit_packet.json
CVE-2020-14212,ffa1561608f513b3a5d3d1568f75126f21bce663,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:dd273d359e45ab69398ac0dc41206d5f1a9371bf,patch-family:1f6ce52f72707cf7a5684d7548987f93e7d9128b,libavfilter/dnn/dnn_backend_native_layer_mathbinary.h,49,dangerous_use,modified_old_side,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,1,True,True,3,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-14212\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-14212\judge_audit_packet.json
CVE-2020-14212,f73cc61bf5aa383048979f4de2023877c522f6be,fallback,fallback,fallback_inventory_anchor,fix-commit:FFmpeg:dd273d359e45ab69398ac0dc41206d5f1a9371bf,patch-family:1f6ce52f72707cf7a5684d7548987f93e7d9128b,libavfilter/dnn/dnn_backend_native_layer_mathunary.c,30,dangerous_use,modified_old_side,fallback_candidate;no_model_anchor;non_release_tag_noise;weak_root_cause_binding,1,True,True,2,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-14212\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-14212\judge_audit_packet.json
CVE-2020-10251,8c69a644b1a32dd032541d123d232003f05887f8,strong,strong,strong_model_anchor,fix-commit:ImageMagick:868aad754ee599eb7153b84d610f2ecdf7b339f6,patch-family:7ee7b75bd394aff1fd7bf9adef66b97c7d057a6e,coders/heic.c,355,sink,modified_old_side,release_line_overreach,72,True,True,,False,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-10251\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-10251\judge_audit_packet.json
CVE-2020-10251,f6cad26b6004600b64093c9a135fbc42d49b6806,strong,strong,strong_model_anchor,fix-commit:ImageMagick:868aad754ee599eb7153b84d610f2ecdf7b339f6,patch-family:7ee7b75bd394aff1fd7bf9adef66b97c7d057a6e,coders/heic.c,348,control_predecessor,modified_old_side,release_line_overreach,72,True,True,,False,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-10251\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-10251\judge_audit_packet.json
CVE-2020-19667,3ed852eea50f9d4cd633efb8c2b054b8e33c2530,fallback,fallback,fallback_inventory_anchor,fix-commit:ImageMagick:5462fd4725018567764c8f66bed98b7ee3e23006,patch-family:933e50e01183ed0d28714dd4ada3cc33bc880981,coders/xpm.c,333,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;broad_candidate_range;fallback_candidate;no_model_anchor;weak_root_cause_binding,208,True,True,3,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-19667\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-19667\judge_audit_packet.json
CVE-2020-19667,bd45f324084453a2fb279c5c9b5c5c075bce2904,fallback,fallback,fallback_inventory_anchor,fix-commit:ImageMagick:5462fd4725018567764c8f66bed98b7ee3e23006,patch-family:933e50e01183ed0d28714dd4ada3cc33bc880981,coders/xpm.c,482,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,39,True,True,1,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-19667\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-19667\judge_audit_packet.json
CVE-2020-19667,e7538ca05d229be42443bb927dbc4c8c8f1fc856,fallback,fallback,fallback_inventory_anchor,fix-commit:ImageMagick:5462fd4725018567764c8f66bed98b7ee3e23006,patch-family:933e50e01183ed0d28714dd4ada3cc33bc880981,coders/xpm.c,407,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,114,True,True,2,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-19667\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-19667\judge_audit_packet.json
CVE-2020-25663,7894d4a8920a7ee8f292b9c9b4bfc7b722bfcb83,strong,strong,strong_model_anchor,fix-commit:ImageMagick:a47e7a994766b92b10d4a87df8c1c890c8b170f3,patch-family:2de7ca3bff63acd32177e053ae3e07a365c0c39d,MagickCore/channel.c,1021,data_source,add_only_semantic_target,add_only_semantic_anchor;release_line_overreach,174,True,True,,False,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-25663\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-25663\judge_audit_packet.json
CVE-2020-25663,8ed707a93fc4c7b3193dd562f07c4a1cc63cc19d,strong,strong,strong_model_anchor,fix-commit:ImageMagick:a47e7a994766b92b10d4a87df8c1c890c8b170f3,patch-family:2de7ca3bff63acd32177e053ae3e07a365c0c39d,MagickCore/channel.c,1294,propagation,direct_deleted_line,release_line_overreach,12,True,True,,False,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-25663\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-25663\judge_audit_packet.json
CVE-2020-8169,46e164069d1a5230e4e64cbd2ff46c46cce056bb,fallback,fallback,fallback_inventory_anchor,fix-commit:curl:600a8cded447cd7118ed50142c576567c0cf5158,patch-family:5df6241393a284e5f94fcf1d870fae3ac2aa3e2c,lib/url.c,2796,dangerous_use,modified_old_side,fallback_candidate;no_model_anchor;weak_root_cause_binding,14,True,True,1,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_audit_packet.json
CVE-2020-8169,2c5ec339ea67f43ac370ae77636a0f915cc5fbeb,fallback,fallback,fallback_inventory_anchor,fix-commit:curl:600a8cded447cd7118ed50142c576567c0cf5158,patch-family:5df6241393a284e5f94fcf1d870fae3ac2aa3e2c,tests/data/Makefile.inc,137,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,13,True,True,2,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_audit_packet.json
CVE-2020-8169,a97d826f6de35372563ca47087bd53ce837fe21e,fallback,fallback,fallback_inventory_anchor,fix-commit:curl:600a8cded447cd7118ed50142c576567c0cf5158,patch-family:5df6241393a284e5f94fcf1d870fae3ac2aa3e2c,tests/data/Makefile.inc,140,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,1,True,True,3,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_audit_packet.json
CVE-2020-8169,fb723fd9d1d2c1acb46e7980b4b35a5fb4d7c355,fallback,fallback,fallback_inventory_anchor,fix-commit:curl:600a8cded447cd7118ed50142c576567c0cf5158,patch-family:5df6241393a284e5f94fcf1d870fae3ac2aa3e2c,tests/data/Makefile.inc,138,missing_guard_target,add_only_semantic_target,add_only_semantic_anchor;fallback_candidate;no_model_anchor;weak_root_cause_binding,3,True,True,4,True,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8169\judge_audit_packet.json
CVE-2020-8177,4dc8499494dc16bf336c1055f2ae4b78c709c87d,strong,strong,strong_model_anchor,fix-commit:curl:8236aba58542c5f89f1d41ca09d84579efb05e22,patch-family:3422d26f258168154a80a411b9590af0c7802de9,src/tool_getparam.c,503,control_predecessor,add_only_semantic_target,add_only_semantic_anchor,25,True,True,,False,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8177\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8177\judge_audit_packet.json
CVE-2020-8177,6b6ba1dc29857f5eb4c31fed3d63619fea99d5f4,strong,strong,strong_model_anchor,fix-commit:curl:8236aba58542c5f89f1d41ca09d84579efb05e22,patch-family:3422d26f258168154a80a411b9590af0c7802de9,src/tool_cb_hdr.c,196,sink,modified_old_side,,14,True,True,,False,,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8177\judge_blind_input_packet.json,runs\batches\vulngraph-judge-input-hardening-v1-30-p0-fix\CVE-2020-8177\judge_audit_packet.json
