field_path,occurrences,approx_bytes,file_count,classification,example_files
resolved_anchors,31,148919,31,keep_in_model_view,szz10:CVE-2020-11869/contract_lint.json | szz10:CVE-2020-11984/contract_lint.json | szz10:CVE-2020-13164/contract_lint.json
candidates[].diagnostic.source_anchor,80,144250,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
candidates[].line_text,3362,138486,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].diagnostic.ground_truth_release_tags,80,124886,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
CVE-2020-15466.diagnostic_all_tags,2,114861,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
selected_anchors,72,108200,72,keep_in_model_view,szz10:CVE-2020-11869/parsed_selection.json | szz10:CVE-2020-11869/parsed_szz_handoff.json | szz10:CVE-2020-11984/parsed_selection.json
CVE-2020-13904.diagnostic_all_tags,2,107842,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
CVE-2020-11647.release_tag_universe,2,102250,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
candidates[].fix_commit_sha,2379,99918,77,wrapper_owned_not_model_output,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].parent_sha,2379,99918,77,wrapper_owned_not_model_output,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
CVE-2020-13164.diagnostic_all_tags.top1,2,99128,2,audit_only,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
CVE-2020-1971,2,98950,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
candidates[].selection_mode_eligibility,3362,96910,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].path_before,3503,94382,174,wrapper_owned_not_model_output,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
CVE-2020-13904.release_tag_universe,2,91035,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
candidates[].path_after,3362,90945,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
git_trace[].cwd,1731,90068,77,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
candidates[].fix_set_id,3362,86463,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
patch_evidence[].content.hunk_text,156,84134,29,replace_with_ref,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json
repo_navigation,30,83469,30,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-11647/root_cause_packet.json
patch_evidence[].content.context_lines,156,82529,29,keep_in_model_view,rootcause30:CVE-2020-10251/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json | rootcause30:CVE-2020-10702/root_cause_packet.json
git_observations[].patch_hunk_ids,194,79808,30,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json | rootcause30:CVE-2020-10251/evidence_trace.json
[].rationale,463,79701,87,keep_in_model_view,szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json | szz10:CVE-2020-11869/resolved_anchors.json
results[].ingestion_result.details.structural_validation.anchor_results,29,79655,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.anchor_results,29,79655,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
anchor_results,29,79655,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
