cve_id,repo_id,fix_commit_sha,status,reason,parent_count,all_parents_resolve,is_merge,reachable_from_indexed_refs,reachability_basis,containing_ref_count
CVE-2020-21041,FFmpeg,77b61358aa0da73521cc181ccd56f7634a99c632,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-21041,FFmpeg,3d350ec7281cd0d357231fc2c99f44ebe425d586,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-21041,FFmpeg,322b066d6533de16f5854d3ff358097e1ab9e87e,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-21041,FFmpeg,e1b399c818bef82a5f9dcc02b0945b58274bd805,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-21041,FFmpeg,e06e89f6275c62316da489c567fce3d2ef6f594a,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-21041,FFmpeg,50cadf8dc52e94372a181dd60a527c55d1d155f5,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,e1089a581b204667149635f36df5ef81f784c2b8,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,5f9f6894970b1c3e4157e695b9d1d7cd08f04be2,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,cf876bdef8ba66c66518aa2192fff2975ad02d0b,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,ef75363a438b1212abeb8b3cf8d4ec451dfb199b,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,4c1afa292520329eecd1cc7631bc59a8cca95c46,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,a4a70c156850dfbf1362736e5bc5ac07162a7129,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22015,FFmpeg,14e172600e65817144be48a774c9b699b9563653,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22016,FFmpeg,58aa0ed8f10753ee90f4a4a1f4f3da803cf7c145,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22016,FFmpeg,8296bf3dd05ea0b48ec479a77178bea6cac19a64,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22016,FFmpeg,02161c6ed194ddfa00fd2af7684a8099852bc3ce,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22016,FFmpeg,a95d2099b8edb6bb906751a7e27984de2d8930d8,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22017,FFmpeg,aef4cbec696ae4e349a72521fba1180b96a97fab,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22017,FFmpeg,d4d6b7b0355f3597cad3b8d12911790c73b5f96d,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22019,FFmpeg,cea03683b93c1569b33611d71233235933b3cbce,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22019,FFmpeg,a6a041676796668d3798665f2d8797df99af3453,resolved,,1,True,False,True,commit_node_from_git_log_all,
